id,name,display_font,body_font,utility_font,source,mood,best_for,avoid_when
FP37,Press Start Pixel,Press Start 2P,VT323,,google,8-bit retro playful,retro gaming|arcades|dev fun,body text of any length (accent only)
FP38,Space Mono Brutal,Space Mono,Space Mono,,google,raw brutalist typewriter,brutalist|zines|experimental,readability-critical long text
FP39,Lexend Mega Neubrutal,Lexend Mega,Public Sans,,google,neubrutalist wide loud,neubrutalism|bold consumer,subtle premium directions
FP40,Syncopate Kinetic,Syncopate,Space Mono,,google,kinetic spaced futurist,motion-led heroes|tech events,body-heavy pages
FP41,Great Vibes Romance,Great Vibes,Cormorant Infant,,google,script romantic ceremonial,weddings|invitations|florists,anything else (accent only)
FP42,Baloo Kids,Baloo 2,Comic Neue,,google,rounded friendly playful,kids|toys|family services,adult professional services
FP43,Righteous Beat,Righteous,Poppins,,google,music retro-groove bold,music|festivals|entertainment,corporate
FP44,Fira Data,Fira Sans,Fira Sans,Fira Code,google,dashboard systematic legible,dashboards|analytics|monitoring,marketing pages
FP45,Be Vietnam Localized,Be Vietnam Pro,Noto Sans,,google,multilingual modern neutral,Vietnamese/multi-script projects,—
FP46,Noto TR-Safe,Noto Serif,Noto Sans,,google,full Turkish diacritic coverage safe,Turkish-language projects needing guaranteed coverage,when a more characterful TR-supporting face exists
