id,axis,option,pairs_well_with,avoid_when
AX45,signature,"Subject-derived motif system: an icon/shape from the subject's real world repeated as structure (coffee ring, blueprint line, vinyl groove, stitch pattern)",every sector — strongest general option,only when motif is genuinely derived not decorative
AX46,signature,Interactive canvas moment: one WebGL/canvas element tied to the subject,tech|music|data,low-power devices; tight CWV budget
AX47,signature,"Live/real element: actual data, real-time state, genuine artifact embedded (live availability, real reviews, actual menu)",services|restaurants|SaaS,when no real data exists — never fake it
AX48,signature,"Image treatment system: one consistent unusual treatment (duotone, halftone, cut-out collage, irregular masks) across ALL imagery",photography-rich subjects,text-only pages
AX49,signature,"Structural annotation: hand-drawn or technical annotations (arrows, margin notes, dimension lines) as a real wayfinding layer",education|craft|engineering,formal corporate tone
AX50,signature,"Physical-world artifact skeuomorph: one element styled as a real object from the sector (ticket, receipt, luggage tag, prescription pad, polaroid)",hospitality|events|retail,digital-native abstract subjects
AX51,imagery,Editorial photography full-bleed with consistent grade,food|travel|fashion|real estate,no-budget projects without good source imagery
AX52,imagery,Duotone/tritone processed photography matching palette exactly,music|sports|events,when photo detail matters (product shots)
AX53,imagery,"Illustration system: one consistent style, custom-feeling, never mixed",education|health|community,luxury (illustration reads casual)
AX54,imagery,"Type-only: no imagery, typography and color carry everything",studios|law|consultancies,products needing visual proof
AX55,imagery,"Cut-out/collage: subjects isolated from backgrounds, layered with shapes",youth|culture|magazines,clinical/precise subjects
AX56,imagery,Abstract generative/geometric art derived from brand geometry,fintech|data|dev-tools,human-touch subjects
